winery,country,provinces,prices,scores,designations,varieties,num_wines
A. Parparoussis,{Greece},"{Achaia, Greece}","{25.0, 37.0, 23.0}","{83, 84, 85, 86}","{The Gift of Dionysos, Les Dons de Dionysos Barrel Fermented, Les Dons de Dionysos Barrel Fermented Assyrtiko-Athiri, Taos Dry Red Wine}","{White Blend, Sideritis, Red Blend}",4
A. de Luze et Fils,{France},{Bordeaux},"{13.0, 15.0}","{85, 86}","{La Belle Citadelle, Fleur de Sauvignon}","{Bordeaux-style Red Blend, Sauvignon Blanc}",2
A.A. Badenhorst Family Wines,{South Africa},"{Swartland, Coastal Region}","{16.0, 17.0}","{90, 85}","{Secateurs Cinsault-Shiraz-Grenache, Secateurs, Secateurs Red Blend}","{Red Blend, Rosé}",3
A.P. Vin,{US},{California},"{56.0, 48.0}","{90, 91, 85, 86}","{Kanzler Vineyard, Garys' Vineyard, Keefer Ranch Vineyard}",{Pinot Noir},4
A.R. Lenoble ,{France},{Champagne},"{65.0, 75.0, 45.0, 49.0, 54.0, 59.0, 63.0}","{87, 89, 90, 91, 92, 93}","{Intense Brut, Grand Cru Blanc de Blancs Chouilly Brut, Dosage Zéro Brut Nature, Terroirs Brut Rosé, Premier Cru Blanc de Noirs Bisseuil Brut}","{Champagne Blend, Chardonnay, Pinot Noir}",16
A.S. Kiken,{US},{California},"{40.0, 49.0}","{83, 86}","{Estate, Red Table Wine}","{Red Blend, Bordeaux-style Red Blend}",2
A.T. Richardson,{Australia},{Victoria},{22.0},"{91, 87}",{Chockstone},{Shiraz},2
AVA Grace Vineyards,{US},{California},"{9.0, 12.0}","{88, 86}","{Peach, Bright, Lovely, Fruity Silky Soft}","{Chardonnay, Merlot}",2
Aaron,{US},{California},{44.0},{93},{Trespasser},{Rhône-style Red Blend},1
Abacela,{US},{Oregon},"{11.0, 15.0, 16.0, 18.0, 19.0, 20.0, 22.0, 23.0, 24.0, 25.0, 27.0, 29.0, 30.0, 32.0, 35.0, 42.0, 45.0, 50.0, 65.0, 100.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93}","{Barrel Select, Estate, Estate Grown, Fiesta, Umpqua Cuvée}","{Tempranillo, Red Blend, Syrah, Malbec, Tannat}",41
Abad,{Spain},{Northern Spain},"{17.0, 14.0}","{83, 85, 86}",{Gotín del Risc},"{Godello, Mencía, Red Blend}",3
Abad Dom Bueno,{Spain},{Northern Spain},{28.0},{91},{Roble},{Mencía},1
Abadia Retuerta,{Spain},{Northern Spain},"{100.0, 199.0, 135.0, 40.0, 110.0, 17.0, 23.0, 120.0, 28.0, 30.0}","{81, 83, 84, 87, 91, 92, 93}","{Pago Negralada, Selección Especial, Pago Valdebellón, Rívola, Le Domaine Blanco de Guarda}","{Tempranillo, Tempranillo Blend, Cabernet Sauvignon, White Blend, Red Blend}",15
Abadía da Cova,{Spain},{Galicia},{25.0},{88},{Barrica},{Mencía},1
Abadía de Acón,{Spain},{Northern Spain},{22.0},{90},{Crianza},{Tempranillo},1
Abadía la Arroyada,{Spain},{Northern Spain},"{13.0, 23.0}","{84, 86}","{Crianza, Tinto Joven}",{Tempranillo},2
Abarbanel,{France},"{Alsace, Languedoc-Roussillon, Beaujolais}","{10.0, 11.0, 14.0, 15.0, 18.0, 23.0, 25.0}","{81, 82, 83, 84, 85, 86}","{Estate Bottled, Estate Bottled Kosher, Château de la Salle Kosher, Cremant d'Alsace}","{Gewürztraminer, Merlot, Pinot Blanc, Gamay, Chardonnay}",7
Abbadia Ardenga,{Italy},{Tuscany},"{65.0, 43.0, 60.0}","{91, 94, 95}",{Vigna Piaggia},"{Sangiovese Grosso, Sangiovese}",4
Abbaye Sylva Plana,{France},{Languedoc-Roussillon},{29.0},{90},{La Closeraie},{Rhône-style Red Blend},1
Abbaye de Saint-Ferme,{France},{Bordeaux},{25.0},{87},{Vieilles Vignes},{Bordeaux-style Red Blend},1
Abbazia Santa Anastasia,{Italy},{Sicily & Sardinia},"{33.0, 42.0, 77.0, 48.0, 25.0, 29.0}","{88, 92, 85, 86}","{Montenero, Sinestesìa, Baccante, Litra, Passomaggio}","{Red Blend, White Blend, Inzolia, Cabernet Sauvignon}",7
Abbazia di Novacella,{Italy},{Northeastern Italy},"{37.0, 38.0, 40.0, 43.0, 44.0, 45.0, 25.0, 28.0, 29.0, 30.0}","{86, 87, 88, 89, 90, 91, 92, 93, 95}","{Praepositus, Praepositus Riserva, Praepositus Passito, Praepositus  Passito, Praepositus Moscato Rosa}","{Sylvaner, Kerner, Lagrein, Veltliner, Riesling}",24
Abbona Marziano,{Italy},{Piedmont},"{80.0, 78.0}","{92, 87}","{Pressenda, Ravera}",{Nebbiolo},2
Abbot's Passage,{US},{California},"{60.0, 85.0}","{91, 92}","{Due West Nuns Canyon Vineyard, Points Unknown}","{Cabernet Sauvignon, Rhône-style Red Blend}",2
Abbotts,{France},{Languedoc-Roussillon},{35.0},{91},{Cumulo Nimbus},{Shiraz},1
Abbotts Delaunay,{France},{France Other},{22.0},{88},{Alto Stratus},{Carignan},1
Abeja,{US},{Washington},"{62.0, 85.0, 30.0, 55.0}","{89, 90, 93, 97}","{Heather Hill Estate, Reserve, Estate Grown, Heather Hill, Heather Hill Vineyard}","{Cabernet Sauvignon, Viognier}",5
Abelis Carthago,{Spain},{Northern Spain},"{24.0, 34.0, 27.0, 60.0}","{88, 90, 92, 93}","{Fighting Bulls, William Selection, Lui Selection, Lui Selection Crianza}","{Tinta de Toro, Tempranillo}",4
Aberrant Cellars,{US},{Oregon},"{34.0, 35.0, 45.0, 48.0, 50.0, 60.0, 29.0}","{86, 90, 91, 92, 93, 95}","{Confero, Carpe Noctum, Chehalem Mountain Vineyard Block B3 Old Vines, Philtrum Blanc, Gran Moraine Vineyard}",{Pinot Noir},11
Abiouness,{US},{California},{35.0},{92},{Stanly Ranch},{Pinot Noir},1
Abiqua Wind,{US},{Oregon},"{25.0, 12.0, 13.0, 15.0}","{83, 84, 85, 86, 88}","{Collier's Early, Gloria Anne, Isaac's Reserve, Chloe's Breeze, Bin 5 Abiqua Cuvée}","{Muscat, Gewürztraminer, Pinot Noir, Müller-Thurgau, White Blend}",9
Abraxas,{Italy},{Sicily & Sardinia},{26.0},{88},{Scirafi},{Zibibbo},1
Abrazo,{Spain},{Northern Spain},{10.0},{83},{Crianza},{Tempranillo-Garnacha},1
Acacia,{US},{California},"{65.0, 35.0, 36.0, 69.0, 39.0, 27.0, 40.0, 75.0, 45.0, 46.0, 50.0, 55.0, 59.0, 60.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Thornton Vineyard, Sangiacomo Vineyard, Winery Lake Vineyard Estate Grown, Winery Lake Vineyard, St. Clair Vineyard}","{Pinot Noir, Chardonnay}",30
Accadia,{Italy},{Central Italy},"{18.0, 13.0, 22.0}","{89, 85, 86}","{Cantorì, Consono, Conscio}",{Verdicchio},3
Accordini Igino,{Italy},{Veneto},"{24.0, 40.0, 60.0}","{88, 90, 92}",{Le Bessole},{Red Blend},3
Achaia Clauss,{Greece},"{Greece, Peloponnese, Patras, Mavrodaphne of Patras, Muscat of Patras}","{9.0, 10.0, 11.0, 13.0}","{82, 83, 85, 86, 88, 90}","{Demestica White, Demestica, Demestica Red, Imperial, White Sweet Wine}","{White Blend, Moschofilero, Red Blend, Mavrodaphne, Muscat}",8
Achaval-Ferrer,{Argentina},{Mendoza Province},"{35.0, 140.0, 112.0, 50.0, 150.0, 120.0}","{88, 89, 91, 92, 93, 94}","{Finca Mirador, Finca Altamira, Finca Bella Vista, Quimera}","{Malbec, Red Blend, Bordeaux-style Red Blend}",13
Acinum,{Italy},{Veneto},{13.0},{85},{Extra Dry},{Glera},1
Ackerman,{France},{Loire Valley},{20.0},"{85, 86}","{Rosé Brut, Brut}",{Sparkling Blend},2
Ackerman Family Vineyards,{US},{California},{50.0},{90},{Alavigna Tosca},{Cabernet Sauvignon-Sangiovese},1
Aconcagua,{Argentina},{Mendoza Province},"{17.0, 15.0}","{82, 84}","{Oak Roble, Reserve}",{Malbec},2
Aconga,{Argentina},{Mendoza Province},{10.0},{81},{Bonarda-Merlot},{Red Blend},1
Acorex,{Moldova},{Moldova},{16.0},{83},{Reserve},{Sauvignon Blanc},1
Acorn,{US},{California},"{32.0, 33.0, 34.0, 35.0, 36.0, 38.0, 40.0, 42.0, 45.0, 16.0, 48.0, 28.0, 30.0}","{84, 85, 86, 87, 88, 90, 91, 92, 94}","{Alegria Vineyards, Alegria Vineyards Heritage Vines, Alegria Vineyard, Heritage Vines Alegria Vineyards, Axiom Alegría Vineyards}","{Zinfandel, Red Blend, Syrah, Sangiovese, Cabernet Franc}",22
Acquiesce,{US},{California},"{24.0, 26.0}",{90},"{Belle Blanc, Grenache}","{White Blend, Rosé}",2
Acrobat,{US},{Oregon},"{13.0, 14.0, 15.0}","{88, 89, 90, 87}",{Rosé of},"{Pinot Noir, Rosé}",4
Acronym,{US},{California},{20.0},{82},{Great},{White Blend},1
Acumen,{US},{California},{60.0},{93},{Mountainside},{Cabernet Sauvignon},2
Acústic,{Spain},{Catalonia},"{40.0, 25.0, 20.0}","{88, 89, 92}","{Vinyes Velles Nobles Garnatxa-Carinyena, Braó Vinyes Velles, Ritme Vinyes Velles Boniques Garnatxa-Carinyena}","{Red Blend, Carignan-Grenache, Grenache-Carignan}",4
Ad Lib,{Australia},{Western Australia},{17.0},{86},{Cruel Mistress},{Pinot Noir},1
Ad Vivum,{US},{California},"{125.0, 135.0}","{90, 93}",{Sleeping Lady Vineyard},{Cabernet Sauvignon},2
Ada Nada,{Italy},{Piedmont},"{41.0, 36.0, 47.0}","{88, 90, 92, 87}","{Valeirano, Elisa, Rombone Elisa}",{Nebbiolo},6
Adair Bachman,{US},{California},{35.0},{90},{Rose & Thistle},{Rosé},2
Adalia,{Italy},{Veneto},{20.0},{84},{Singan},{White Blend},1
Adamant Cellars,{US},{Washington},"{35.0, 42.0, 18.0, 23.0, 27.0, 30.0}","{86, 87, 88, 90, 91}","{Red Blend, Nalin, Spofford Station Vineyard, Winemaker's Select, Winemaker's Select Red Blend}","{Red Blend, Bordeaux-style Red Blend, Syrah, Merlot, White Blend}",8
Adami,{Italy},{Veneto},"{32.0, 15.0, 18.0, 19.0, 21.0, 22.0}","{86, 87, 88, 89, 90}","{Bosco di Gica Brut, Dei Casel Extra Dry, Sul Lievito, Vigneto Giardino Dry, Garbèl}","{Glera, Prosecco}",23
Adams Bench,{US},{Washington},"{70.0, 39.0, 42.0, 49.0, 52.0, 54.0, 60.0}","{89, 90, 91, 92, 93}","{the V, Reckoning, The V, Red Willow Vineyard, Artz and Shaw Red Mountain}","{Cabernet Sauvignon, Bordeaux-style Red Blend}",14
Adanti,{Italy},{Central Italy},{35.0},{87},{Arquata},{Red Blend},1
Adastra,{US},{California},"{56.0, 15.0}","{90, 84, 82}","{Proximus, Ed's Red}","{Chardonnay, Pinot Noir, Red Blend}",4
Addamo,{US},{California},{32.0},{87},{Reserve},{Syrah},1
Addendum,{US},{California},{95.0},"{91, 93}","{Skellenger Lane, Stagecoach Vineyard}",{Cabernet Sauvignon},2
Adega Algueira,{Spain},{Galicia},{18.0},{90},{Brandan},{Godello},1
Adega Cachín,{Spain},{Galicia},"{20.0, 21.0}",{89},{Peza do Rei},"{White Blend, Mencía}",2
Adega Cooperativa Ponte de Barca,{Portugal},{Vinho Verde},"{9.0, 10.0, 5.0, 7.0}","{83, 84, 85, 86}","{Hera, Escolha, Hera Grande Escolha, Ela Branco, Ela}","{Portuguese White, Rosé, Loureiro}",9
Adega Cooperativa Ponte de Lima,{Portugal},{Vinho Verde},{10.0},"{84, 85}","{Ponte, Adamado, Encostas do Lima}","{Portuguese White, Loureiro}",5
Adega Cooperativa da Batalha,{Portugal},{Portuguese Table Wine},{5.0},{84},{D'Ó},{Portuguese Red},1
Adega Cooperativa de Borba,{Portugal},"{Alentejo, Alentejano, Alenteo}","{35.0, 6.0, 7.0, 8.0, 9.0, 42.0, 11.0, 39.0, 13.0, 14.0, 15.0, 16.0, 18.0, 22.0, 25.0, 28.0}","{83, 84, 85, 86, 87, 88, 89, 90, 91, 92}","{Senses, Brado, Reserva, Garrafeira, Montes Claros Reserva Branco}","{Portuguese Red, Portuguese White, Alvarinho, Touriga Nacional, Syrah}",45
Adega Cooperativa do Cartaxo,{Portugal},"{Tejo, Ribatejo}","{5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 12.0, 13.0, 14.0, 15.0}","{83, 84, 85, 86, 87, 88, 91}","{Bridão Colheita Seleccionada, Bridão Classico, Xairel, Bridão, Bridão Reserva}","{Portuguese Red, Portuguese Sparkling, Trincadeira, Portuguese White, Touriga Nacional}",38
Adega Mayor,{Portugal},{Alentejano},"{33.0, 70.0, 7.0, 75.0, 13.0, 14.0, 50.0}","{82, 84, 86, 87, 88, 91, 92, 93}","{Monte Mayor Reserva, Pai Chão Garrafeira, Monte Mayor, Pai Chão, Reserva do Comendador}","{Portuguese Red, Portuguese White, Alicante Bouschet}",8
Adega Mãe,{Portugal},"{Lisboa, Portuguese Table Wine}","{9.0, 12.0, 13.0, 14.0, 18.0, 19.0, 50.0, 20.0, 22.0, 28.0}","{82, 83, 84, 85, 86, 87, 88, 90, 91, 92, 93}","{Dory, Dory Reserva, Pinta Negra, Pinta Negra Branco, 2 2 1}","{Portuguese White, Portuguese Red, Rosé, Alvarinho, Sparkling Blend}",29
Adega Northwest,{US},{Washington},{36.0},{89},{Weinbau Vineyard Block 10},{Cabernet Sauvignon},1
Adega Vila Real,{Portugal},{Douro},"{10.0, 12.0, 13.0, 15.0, 20.0}","{81, 84, 85, 86, 88, 89, 90}","{Premium, Reserva, Colheita, Grande Reserva}","{Portuguese Red, Portuguese White, Rosé}",11
Adega Viuva Gomes,{Portugal},{Colares},"{30.0, 495.0}","{88, 93}","{Vinho Branco, Reserva Velho}","{Malvasia, Ramisco}",2
Adega de Cantanhede,{Portugal},"{Bairrada, Beira Atlantico}","{33.0, 98.0, 34.0, 9.0, 11.0, 12.0, 15.0, 16.0, 80.0, 60.0, 30.0}","{84, 85, 86, 88, 89, 90, 91, 92, 93}","{Marquês de Marialva Reserva, Marquês de Marialva Grande Reserva, Marquês de Marialva Colheita Seleccionada, Marquês de Marialva Rosé Bruto, Blanc de Blancs Bruto}","{Baga, Portuguese Red, Portuguese Sparkling, Arinto, Portuguese White}",17
Adega de Favaios,{Portugal},"{Moscatel do Douro, Douro}","{33.0, 137.0, 11.0}","{88, 90}","{Colheita, Casa Velha Colheita Seleccionada, 10 Anos}","{Moscatel, Portuguese Red}",4
Adega dos Eidos,{Spain},{Galicia},"{24.0, 22.0, 23.0}","{89, 90}","{Eidos de Padriñán, Eidos de Padriñan}",{Albariño},3
Adegas D'Altamira,{Spain},{Galicia},"{25.0, 15.0}","{89, 86}","{Selección, Brandal}",{Albariño},2
Adegas Gran Vinum,{Spain},{Galicia},"{26.0, 27.0, 22.0, 23.0}","{83, 89, 90, 91, 93}","{Esencia Diviña, Selección Especial, Gran Vinum Selección Especial, Gran Vinum}",{Albariño},9
Adegas Moure,{Spain},{Galicia},"{27.0, 30.0, 23.0}","{82, 84, 87}","{Tradición Joven, Tradición Barrica, Tradición}","{Red Blend, Mencía}",3
Adelaida,{US},{California},"{32.0, 65.0, 35.0, 36.0, 40.0, 75.0, 15.0, 48.0, 50.0, 20.0, 55.0, 25.0, 27.0, 28.0, 30.0}","{81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92}","{Viking Estate Vineyard Reserve, Anna's Estate Vineyard, Michael's Vineyard, HMR Vineyard, The Glenrose Vineyard}","{Syrah, Rhône-style White Blend, Cabernet Sauvignon, Pinot Noir, Zinfandel}",59
Adelaida Cellars,{US},{California},"{50.0, 60.0}","{88, 90}","{Anna's Vineyard Reserve, Version Red Anna's Vineyard Reserve}","{Mourvèdre, Rhône-style Red Blend, Syrah}",3
Adelsheim,{US},{Oregon},"{68.0, 40.0, 105.0, 75.0, 45.0, 80.0, 52.0, 85.0, 22.0, 55.0, 25.0, 90.0, 60.0, 125.0, 30.0, 95.0}","{86, 88, 89, 90, 91, 92, 93, 94, 95}","{Ribbon Springs Vineyard, Caitlin's Reserve, Bryan Creek Vineyard, Elizabeth's Reserve, Calkins Lane Vineyard}","{Pinot Noir, Chardonnay, Auxerrois, Pinot Blanc, Syrah}",66
Adirondack Winery,{US},{New York},"{13.0, 15.0, 16.0, 18.0, 19.0}","{88, 83, 85, 86}","{Barrel Aged Adirondack Overlook, Island Sunset Cabernet Franc, Summit Solitude, Still Waters, Break By The Lake}","{Chardonnay, Rosé, Seyval Blanc, Syrah, Pinot Gris}",9
Adler Fels,{US},{California},{28.0},{89},{The Eagle Rock},{Pinot Noir},1
Admirable Family Vineyard,{US},{California},"{49.0, 59.0}",{88},"{Blanc & Blanc, Vigneronne}","{Viognier-Chardonnay, Syrah-Merlot}",2
Adobe Road,{US},{California},"{45.0, 38.0}","{90, 83}",{Bavarian Lion Vineyard},"{Cabernet Sauvignon, Cabernet Franc}",2
Adolph Mueller,{Germany},{Mosel},{13.0},{86},{Bereich Bernkastel},{Riesling},1
Adria Vini,{Italy},"{Veneto, Lombardy}","{11.0, 12.0}","{84, 85}","{Mirabello, Rapido White}","{Glera, Pinot Grigio}",2
Adrian Fog,{US},{California},{75.0},{83},{Numbers},{Pinot Noir},1
Adriano Marco & Vittorio,{Italy},{Piedmont},"{34.0, 28.0, 38.0, 30.0}","{88, 91, 92, 94}","{Basarin, Sanadaive}",{Nebbiolo},6
Aequorea,{US},{California},"{38.0, 34.0, 46.0}","{93, 94}","{Spanish Springs Vineyard, Spanish Spring Vineyard, Riven Rock Vineyard, SeaFarer}","{Pinot Noir, Pinot Gris}",4
Aesthete,{US},{California},{55.0},{93},{Dry Stack Vineyard},{Sauvignon Blanc},1
Aether Wine Company,{US},{California},"{65.0, 50.0, 36.0}","{94, 95}","{Sanford & Benedict Vineyard, Sierra Madre Vineyard, Matrix}","{Pinot Noir, Chardonnay}",3
Agate Ridge,{US},{Oregon},"{14.0, 17.0, 18.0, 20.0, 24.0, 26.0, 60.0}","{80, 82, 83, 84, 85, 86, 88}","{Estate, Barrel Fermented, Clonal Selection, Estate DK Reserve, Cascade Terrace Red}","{Viognier, Red Blend, Pinot Noir, Petite Sirah, Pinot Gris}",8
Ager Falernus,{Italy},{Southern Italy},{50.0},{87},{Vino e Anima},{Red Blend},1
Agness,{US},{New York},{18.0},{85},{Semi-Dry},{Riesling},1
Agnitio,{US},{California},"{50.0, 60.0, 70.0}","{88, 92, 86}","{Walala Vineyard, Durell Vineyard, Sun Chase Vineyard}","{Chardonnay, Pinot Noir}",3
Agostino Bosco,{Italy},{Piedmont},"{50.0, 60.0, 53.0}","{90, 91, 86}","{Neirane, La Serra}",{Nebbiolo},3
Agostino Pavia & Figli,{Italy},{Piedmont},"{32.0, 19.0}","{89, 90}","{La Marescialla, Molisse}",{Barbera},3
Agostino Vicentini,{Italy},{Veneto},{17.0},{86},{Vigneto Terre Lunghe},{Garganega},1
Agrapart & Fils,{France},{Champagne},"{35.0, 60.0, 45.0}","{91, 92, 87}","{Terroirs Grand Cru Blanc de Blancs Brut, Les Sept Crus Blanc de Blancs Brut, Minéral Extra Brut}",{Chardonnay},4
Agricola Bellaria,{Italy},{Southern Italy},"{30.0, 22.0}","{85, 86, 87}","{Oltre, Ottant'anni}","{Greco, Coda di Volpe}",4
Agricola Castellana,{Spain},{Northern Spain},"{11.0, 12.0, 14.0}","{85, 86, 87}","{Inspiración Pampano, Cuatro Rayas}","{Verdejo, White Blend}",4
Agricola Falset-Marca,{Spain},{Catalonia},"{9.0, 27.0}",{88},"{Imus Selection, Ètim Varema Tardana Negre}","{Red Blend, Grenache}",2
Agricola Punica,{Italy},{Sicily & Sardinia},"{35.0, 19.0, 54.0, 60.0, 31.0}","{89, 90, 92, 87}","{Montessu, Barrua, Samas}","{Red Blend, White Blend}",8
Agricola Querciabella,{Italy},{Tuscany},"{100.0, 104.0, 78.0, 17.0, 18.0, 150.0, 90.0, 30.0}","{88, 89, 90, 91, 92, 94}","{Camartina, Querciabella, Batàr, Bàtar, Mongrana}","{Red Blend, White Blend, Sangiovese}",13
Agricola Sulin,{Italy},{Piedmont},{20.0},{88},{Ornella},{Barbera},1
Agricola Tamburini,{Italy},{Tuscany},{16.0},{89},{Italo Riserva},{Red Blend},1
Agricole Vallone,{Italy},{Southern Italy},"{100.0, 14.0, 15.0, 19.0, 20.0}","{85, 86, 87}","{Riserva Vereto, Vigna Flaminio Riserva, Riserva Vigna Flaminio, Graticciaia, Vereto Riserva}","{Red Blend, Negroamaro}",5
Agricoltori del Chianti Geografico,{Italy},{Tuscany},"{40.0, 16.0, 18.0, 19.0, 23.0}","{88, 86, 87}","{Geografico, Pulleraia, Ferraiolo, Contessa di Radda, Pietravalle}","{Red Blend, Sangiovese, Merlot, Vernaccia}",6
Agrina,{Serbia},{Fruška Gora},{16.0},{87},{Portuguiser},{Blauer Portugieser},1
Agrinatura,{Italy},{Southern Italy},"{27.0, 15.0}","{88, 83, 85, 86}","{Giancarlo Ceci Parco Marano, Giancarlo Ceci, Almagìa, Giancarlo Ceci Parco Grande}","{Red Blend, Uva di Troia}",5
Agro de Bazán,{Spain},{Levante},{20.0},{85},{Mas de Bazan Los Varietales Crianza},{Bobal},1
Agrolaguna,{Croatia},{Istria},"{19.0, 15.0}","{88, 87}","{Castello Festigia, Muškat Ruža}","{Red Blend, Muscat}",2
Agros,{Greece},{Santorini},{20.0},{84},{Katerina},{Assyrtico},1
Agrícola Labastida,{Spain},{Northern Spain},"{16.0, 23.0}",{89},"{Tierra Crianza, El Primavera}",{Tempranillo},2
Aguijón De Abeja,{Argentina},{Other},{40.0},{93},{Reserva},{Malbec},1
